Category,Shortcut,Description,Usefulness
macOS,Cmd + Space,Open Spotlight search / app launcher,High
macOS,Cmd + Tab,Switch to next application,High
macOS,Cmd + `,Switch window within current app,High
macOS,Cmd + W,Close current tab or window,High
macOS,Cmd + Q,Quit current app,Medium
macOS,Cmd + H,Hide current app,Medium
macOS,Cmd + M,Minimize current window,Medium
macOS,Cmd + ,,Open current app settings/preferences,High
macOS,Ctrl + Cmd + Q,Lock screen,High
macOS,Cmd + Shift + 5,Open screenshot / screen recording toolbar,High
macOS,Cmd + Shift + 4,Take selected-area screenshot,High
macOS,Cmd + Shift + 3,Take full-screen screenshot,Medium
No Mouse,Tab,Move focus to next UI element,High
No Mouse,Shift + Tab,Move focus to previous UI element,High
No Mouse,Enter,Confirm selected action,High
No Mouse,Space,Press focused button or toggle checkbox,High
No Mouse,Esc,Cancel / close dialog / leave mode,High
No Mouse,Ctrl + F2,Move focus to menu bar,Medium
No Mouse,Ctrl + F3,Move focus to Dock,Medium
No Mouse,Ctrl + F4,Move focus to active window or next window area,Medium
No Mouse,Ctrl + Up,Open Mission Control,High
No Mouse,Ctrl + Down,Open App Exposé,Medium
No Mouse,Ctrl + Left,Move to previous desktop/space,High
No Mouse,Ctrl + Right,Move to next desktop/space,High
Text Editing,Cmd + Left,Move cursor to beginning of line,High
Text Editing,Cmd + Right,Move cursor to end of line,High
Text Editing,Cmd + Up,Move cursor to beginning of document,Medium
Text Editing,Cmd + Down,Move cursor to end of document,Medium
Text Editing,Option + Left,Move cursor one word left,High
Text Editing,Option + Right,Move cursor one word right,High
Text Editing,Option + Backspace,Delete previous word,High
Text Editing,Cmd + Backspace,Delete current line/back to line start,High
Text Editing,Shift + Arrow,Extend selection by character/line,High
Text Editing,Option + Shift + Left,Select previous word,High
Text Editing,Option + Shift + Right,Select next word,High
Text Editing,Cmd + Shift + Left,Select to beginning of line,High
Text Editing,Cmd + Shift + Right,Select to end of line,High
Text Editing,Cmd + A,Select all,High
Text Editing,Cmd + C,Copy,High
Text Editing,Cmd + V,Paste,High
Text Editing,Cmd + X,Cut,High
Text Editing,Cmd + Z,Undo,High
Text Editing,Cmd + Shift + Z,Redo,High
Browser,Cmd + L,Focus address/search bar,High
Browser,Cmd + T,Open new tab,High
Browser,Cmd + W,Close current tab,High
Browser,Cmd + Shift + T,Reopen closed tab,High
Browser,Cmd + R,Reload page,High
Browser,Cmd + Shift + R,Hard reload page,Medium
Browser,Cmd + F,Find on page,High
Browser,Cmd + D,Bookmark current page,Medium
Browser,Cmd + Option + I,Open Developer Tools,High
Browser,Cmd + Option + J,Open JavaScript console,Medium
Browser,Ctrl + Tab,Next browser tab,High
Browser,Ctrl + Shift + Tab,Previous browser tab,High
Browser,Cmd + 1,Switch to tab 1,Medium
Browser,Cmd + 2,Switch to tab 2,Medium
Browser,Cmd + 9,Switch to last tab,Medium
Browser,Space,Scroll page down,Medium
Browser,Shift + Space,Scroll page up,Medium
VS Code,Cmd + P,Quick open file,High
VS Code,Cmd + Shift + P,Open command palette,High
VS Code,Cmd + B,Toggle sidebar,High
VS Code,Cmd + J,Toggle bottom panel,High
VS Code,Ctrl + `,Toggle integrated terminal,High
VS Code,Cmd + Shift + F,Search across project,High
VS Code,Cmd + F,Find in current file,High
VS Code,Cmd + /,Toggle line comment,High
VS Code,Cmd + D,Select next occurrence,High
VS Code,Cmd + Shift + L,Select all occurrences,High
VS Code,Option + Up,Move line up,High
VS Code,Option + Down,Move line down,High
VS Code,Option + Shift + Up,Copy line up,Medium
VS Code,Option + Shift + Down,Copy line down,Medium
VS Code,Cmd + Shift + K,Delete line,High
VS Code,Cmd + Enter,Insert line below,High
VS Code,Cmd + Shift + Enter,Insert line above,Medium
VS Code,F12,Go to definition,High
VS Code,Option + F12,Peek definition,Medium
VS Code,Ctrl + -,Go back,High
VS Code,Ctrl + Shift + -,Go forward,Medium
Vim,Esc,Return to normal mode / cancel,High
Vim,H,Move left,High
Vim,J,Move down,High
Vim,K,Move up,High
Vim,L,Move right,High
Vim,W,Jump to next word,High
Vim,B,Jump to previous word,High
Vim,E,Jump to end of word,Medium
Vim,0,Jump to start of line,High
Vim,$,Jump to end of line,High
Vim,GG,Go to top of file,Medium
Vim,G,Go to bottom of file,Medium
Vim,DD,Delete current line,High
Vim,YY,Yank/copy current line,Medium
Vim,P,Paste,High
Vim,U,Undo,High
Vim,Ctrl + R,Redo,High
Vim,/,Search,High
Vim,N,Next search result,Medium
Vim,Shift + N,Previous search result,Medium
iTerm2,Cmd + T,Open new terminal tab,High
iTerm2,Cmd + W,Close current tab/window,High
iTerm2,Cmd + D,Split pane vertically,High
iTerm2,Cmd + Shift + D,Split pane horizontally,High
iTerm2,Cmd + Option + Left,Move to left pane,High
iTerm2,Cmd + Option + Right,Move to right pane,High
iTerm2,Cmd + Option + Up,Move to upper pane,Medium
iTerm2,Cmd + Option + Down,Move to lower pane,Medium
